@relation InstanceResultListener

@attribute Key_Dataset {Teams}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.KStar}
@attribute Key_Scheme_options {'-B 20 -M a'}
@attribute Key_Scheme_version_ID {332458330800479083}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Teams,1,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,5,4,0,55.555556,44.444444,0,0.142857,0.434638,0.489017,87.987627,98.412359,8.919732,8.578694,0.341038,0.991081,0.953188,0.037893,1.070938,0.118993,108.011667,0.4,2,0.25,1,0.75,3,0.6,3,0.666667,0.4,0.5,0.158114,0.65,0.754444,0.555556,0.405556,0.594444,0.444444,0.592593,0.555556,0.544444,0.158114,0.65,0.687654,0.55,0.555556,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,1,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,5,4,0,55.555556,44.444444,0,0.1,0.50721,0.600875,102.679126,120.923325,8.919732,14.216259,-5.296528,0.991081,1.579584,-0.588503,-0.183133,-0.020348,-18.470257,0.6,3,0.5,2,0.5,2,0.4,2,0.6,0.6,0.6,0.1,0.45,0.594444,0.555556,0.455556,0.544444,0.444444,0.555556,0.555556,0.555556,0.1,0.45,0.538889,0.55,0.555556,0,0,0,0,0,0,11812,8783,3239,100,100,?
Teams,1,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,9,0,0,100,0,0,1,0.256695,0.309916,51.965112,62.369187,8.919732,4.215087,4.704644,0.991081,0.468343,0.522738,4.69683,0.52187,473.708716,1,5,0,0,1,4,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,12046,8783,3239,100,94.444444,?
Teams,1,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.780488,0.329249,0.358856,66.652858,72.218092,8.919732,5.581844,3.337888,0.991081,0.620205,0.370876,3.509492,0.389944,353.957229,0.8,4,0,0,1,4,0.2,1,1,0.8,0.888889,0.8,0.9,0.942857,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,0.9,0.918254,0.888889,0.888889,0,0,0,0,0,0,12046,8783,3239,100,100,?
Teams,1,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.769231,0.259997,0.308419,52.633579,62.067918,8.919732,4.2584,4.661332,0.991081,0.473156,0.517926,4.649516,0.516613,468.93668,1,5,0.25,1,0.75,3,0,0,0.833333,1,0.909091,0.790569,1,1,0.888889,0.138889,0.861111,0.111111,0.907407,0.888889,0.886003,0.790569,1,1,0.883117,0.888889,0,0,0,0,0,0,11812,8783,3239,100,94.444444,?
Teams,1,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,5,4,0,55.555556,44.444444,0,0.1,0.417226,0.464712,84.462915,93.521064,8.919732,7.860183,1.059549,0.991081,0.873354,0.117728,1.417766,0.15753,142.991767,0.6,3,0.5,2,0.5,2,0.4,2,0.6,0.6,0.6,0.1,0.7,0.808333,0.555556,0.455556,0.544444,0.444444,0.555556,0.555556,0.555556,0.1,0.7,0.764418,0.55,0.555556,0,0,0,0,0,0,11851,8783,3239,100,100,?
Teams,1,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.313092,0.410355,63.381949,82.582063,8.919732,6.637727,2.282005,0.991081,0.737525,0.253556,3.540568,0.393396,357.091401,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.8,0.911111,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.8,0.808025,0.775,0.777778,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,1,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.399449,0.43664,80.863985,87.871829,8.919732,7.362683,1.557049,0.991081,0.818076,0.173005,2.020791,0.224532,203.811115,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.85,0.902857,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.85,0.881217,0.775,0.777778,0,0,0,0,0,0,11812,8783,3239,100,100,?
Teams,1,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.780488,0.327911,0.369743,66.381961,74.409004,8.919732,5.783547,3.136184,0.991081,0.642616,0.348465,3.50255,0.389172,353.257041,0.8,4,0,0,1,4,0.2,1,1,0.8,0.888889,0.8,0.9,0.942857,0.888889,0.088889,0.911111,0.111111,0.911111,0.888889,0.888889,0.8,0.9,0.918254,0.888889,0.888889,0,0,0,0,0,0,12046,8783,3239,100,100,?
